timestamp,step_k,state_x,u_nominal,u_actual,is_event,reset_m
1782131169895091,0,0.0,3.5,2.61,0,0
1782131170938821,1,0.8,3.5,0.0,1,1
1782131170989240,2,0.1419,3.5,1.9,1,1
1782131171225885,3,0.8,3.5,0.0,1,2
1782131171277698,4,0.9541,3.5,0.0,1,3
1782131171328324,5,0.153,3.5,1.84,1,3
1782131171565921,6,0.8,3.5,0.0,1,4
1782131171616277,7,0.1126,3.5,2.04,1,4
1782131171936911,8,0.8,3.5,0.0,1,5
1782131171987610,9,0.2183,3.5,1.52,1,5
1782131172252715,10,0.8,3.5,0.0,1,6
1782131172304079,11,0.292,3.5,0.0,1,7
1782131172355489,12,0.267,3.5,0.0,1,8
1782131172406254,13,0.7053,3.5,0.0,1,9
1782131172457437,14,0.5857,3.5,0.0,1,10
1782131172508848,15,0.8,3.5,0.0,1,10
1782131172559385,16,0.8,3.5,0.0,1,10
1782131172610688,17,0.9839,3.5,0.0,1,10
1782131172661149,18,0.9998,3.5,0.0,1,10
1782131172711570,19,0.0798,3.5,0.0,1,10
1782131172762105,20,0.1141,3.5,0.0,1,10
1782131172813550,21,0.1381,3.5,0.0,1,10
1782131172864438,22,0.9976,3.5,0.0,1,10
1782131172915428,23,0.8901,3.5,0.0,1,10
1782131172966906,24,0.9881,3.5,0.0,1,10
1782131173018098,25,0.212,3.5,0.0,1,10
1782131173068887,26,0.1343,3.5,0.0,0,10
1782131173120002,27,0.8,3.5,0.0,1,10
1782131173171450,28,0.06,3.5,0.0,1,10
1782131173222312,29,0.0735,3.5,0.0,1,10
1782131173274019,30,0.3517,3.5,0.0,0,10
1782131173324750,31,0.0838,3.5,0.0,1,10
1782131173375408,32,0.0846,3.5,0.0,1,10
1782131173425844,33,0.9998,3.5,0.0,1,10
1782131173477376,34,0.1558,3.5,0.0,1,10
1782131173527877,35,1.0,3.5,0.0,1,10
1782131173579124,36,0.0769,3.5,0.0,1,10
1782131173630562,37,1.0,3.5,0.0,1,10
1782131173681985,38,0.4069,3.5,0.0,1,10
1782131173732459,39,0.2128,3.5,0.0,1,10
1782131173783652,40,0.3097,3.5,0.0,1,10
1782131173834312,41,0.7286,3.5,0.0,1,10
1782131173885082,42,0.1658,3.5,0.0,1,10
1782131173936511,43,0.8,3.5,0.0,1,10
1782131173987328,44,0.0713,3.5,0.0,1,10
1782131174037792,45,0.0801,3.5,0.0,0,10
1782131174088152,46,1.0,3.5,0.0,1,10
1782131174139355,47,0.1827,3.5,0.0,1,10
1782131174189656,48,0.3297,3.5,0.0,1,10
1782131174240651,49,0.1174,3.5,0.0,1,10
